Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.gap.json	11406	-	0	0	0	0	0	0	3	74	0	0	0	0	0	0	0	0	0	0	132	119	0	0	1	3	0	2
fsh-generated/resources/Appointment-example-req-appointment.json	1982	11	0	0	1	1	0	0	0	352	0	0	0	0	0	0	0	1	0	0	18	25	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-GAP-Consommateur.json	16659	38	1	0	0	0	0	0	2	101	0	0	0	0	0	0	0	0	0	0	124	94	0	1	0	3	0	0
fsh-generated/resources/CapabilityStatement-GAP-DeclarantRDV.json	1632	8	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	26	15	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-GAP-GestionnaireAgenda.json	9863	14	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	62	35	0	0	0	2	0	1
fsh-generated/resources/CapabilityStatement-GAP-GestionnaireRessources.json	4118	12	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	52	31	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-Gap-Declarant.json	5034	12	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	57	24	0	0	0	1	0	0
fsh-generated/resources/Schedule-example.json	2392	10	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	16	19	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-GAP-Appointment-created.json	412	7	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-GAP-Appointment-description.json	583	7	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-GAP-Appointment-earliestStart.json	677	7	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-GAP-Appointment-latestStart.json	649	7	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-GAP-Appointment-priority.json	508	7	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	7	7	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-GAP-Slot-earliestStart.json	617	7	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-GAP-Slot-latestStart.json	609	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Slot-example.json	999	9	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-gap-bundle-reponse-demande-consult-dispo.json	10801	25	1	0	0	0	0	776	1	626	0	0	1	0	0	0	0	2	0	0	1762	4597	0	0	0	44	0	8
fsh-generated/resources/StructureDefinition-gap-bundle-reponse-demande-consult-rdv.json	11399	27	0	0	0	0	0	725	0	558	0	0	1	0	0	0	0	3	0	0	1963	2233	0	0	0	49	0	5
fsh-generated/resources/StructureDefinition-gap-fr-appointment.json	647	14	0	0	0	0	0	115	0	86	0	0	0	0	0	0	0	1	0	0	234	287	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-gap-fr-schedule.json	618	14	0	0	0	0	0	78	0	51	0	0	0	0	0	0	0	0	0	0	142	260	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-gap-fr-slot.json	579	12	1	0	0	0	0	66	0	48	0	0	0	0	0	0	0	1	0	0	139	250	0	0	0	4	0	1
